architecture,year,hours,field,heldout_nrmse,full_nrmse,heldout_minus_full,full_gain_pct,delta_ci95_low,delta_ci95_median,delta_ci95_high,bootstrap_draws_full_not_better,bootstrap_tail_probability_full_not_better,bootstrap_probability_at_floor,comparability
WeatherBridge,2021,trained_hours,Z700,0.00813485215085931,0.008315691840809976,-0.00018083968995066466,-2.2230236837379027,-0.00018507357666345772,-0.00018083043431273496,-0.0001767642173424905,5000,1.0,False,optimizer_budget_and_seed_matched
WeatherBridge,2021,trained_hours,t2m,0.019010529563497625,0.019067345566011154,-5.681600251352878e-05,-0.2988659643791405,-6.540029955639047e-05,-5.689432500526753e-05,-4.838155914206307e-05,5000,1.0,False,optimizer_budget_and_seed_matched
WeatherBridge,2021,trained_hours,u10,0.062258995499971326,0.0625886608505923,-0.0003296653506209696,-0.5295063757029639,-0.0003394728957931751,-0.0003297059152718544,-0.00031959043141185917,5000,1.0,False,optimizer_budget_and_seed_matched
WeatherBridge,2021,trained_hours,v10,0.10463314497440025,0.10531564913598597,-0.0006825041615857175,-0.6522829470075665,-0.0006997842277172664,-0.0006825546727889792,-0.0006651719100433734,5000,1.0,False,optimizer_budget_and_seed_matched
WeatherBridge,2021,trained_hours,mslp,0.02042430298151852,0.020764791303545988,-0.0003404883220274671,-1.6670743786731284,-0.0003490713678287841,-0.00034050917365186124,-0.00033205219241407344,5000,1.0,False,optimizer_budget_and_seed_matched
WeatherBridge,2021,held_out_hours,T1000,0.01932936567468054,0.01753949003532182,0.001789875639358722,9.259877791557708,0.0017765343215845504,0.001789745539484102,0.0018029608277805467,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,held_out_hours,T925,0.019927133376752768,0.01827673317192119,0.0016504002048315786,8.282175733098446,0.001638753925930261,0.001650373305875405,0.001662149117047966,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,held_out_hours,T850,0.021645811948567018,0.020222073345016245,0.0014237386035507726,6.577432193043819,0.0014156933265211335,0.0014238781042188974,0.0014324617009218326,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,held_out_hours,T700,0.018692482759748663,0.018027883078992897,0.0006645996807557661,3.5554382437996814,0.0006593347156793664,0.0006646081281545691,0.000670003671801391,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,held_out_hours,U1000,0.08309338171697969,0.0764765341772419,0.006616847539737791,7.963146285555103,0.0065779256539990165,0.006616713935242671,0.006657647655844002,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,held_out_hours,U925,0.07727650406455788,0.07038891060450207,0.00688759346005581,8.912920613362397,0.006848574337051924,0.006887740750727234,0.0069258819826773,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,held_out_hours,U850,0.07704460160901101,0.07149164243250454,0.005552959176506472,7.207460432707341,0.005525976740076559,0.005553014323874422,0.0055796649204558815,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,held_out_hours,U700,0.07447802094970488,0.06964219520595896,0.004835825743745914,6.492956824150248,0.004813301272308186,0.004835562065172681,0.004858845520733874,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,held_out_hours,V1000,0.1432865656156584,0.130308006202199,0.012978559413459378,9.057764318444296,0.012892054462826083,0.012978555401911882,0.013060350315991565,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,held_out_hours,V925,0.17078915411178375,0.15293564311516897,0.01785351099661478,10.453539095889791,0.017711844678466305,0.01785236135075402,0.017989445328462056,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,held_out_hours,V850,0.22141539776846814,0.20192618861873632,0.019489209149731818,8.80210199749138,0.01936593212865569,0.019488729319388012,0.019613602251199583,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
